,unit_x,sample,sio2,al2o3,fe2o3_tot,mno,mgo,cao,na2o,k2o,tio2,p2o5,loi,total,sc_ppm,be_ppm,v_ppm,cr_ppm,co_ppm,ni_ppm,cu_ppm,zn_ppm,ga_ppm,ge_ppm,as_ppm,rb_ppm,sr_ppm,y_ppm,zr_ppm,nb_ppm,mo_ppm,ag_ppm,in_ppm,sn_ppm,sb_ppm,cs_ppm,ba_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,hf_ppm,ta_ppm,w_ppm,tl_ppm,pb_ppm,bi_ppm,th_ppm,u_ppm,87sr/86sr,2se,87sr/86sr(i),143nd/144nd,2se.1,143nd/144nd(i),εnd,εnd(i),206pb/204pb,207pb/204pb,208pb/204pb,lithology,unit_y,locality,altitude,age_ma,longitude,latitude
0,Lago la Plata Fm.,CS01,47.75,17.31,9.6,0.184,5.05,6.84,3.97,2.09,0.917,0.31,4.52,98.54,31,1,293,30,34,< 20,60,90,18,1.7,< 5,62,583,17.2,61,1.9,< 2,< 0.5,< 0.1,< 1,< 0.2,0.9,625,14.4,33.4,4.41,19.9,4.31,1.26,3.96,0.59,3.3,0.65,1.83,0.257,1.63,0.262,1.9,0.34,45.4,0.21,< 5,< 0.1,2.98,0.71,0.705128,3,0.7044720954498181,0.51271665,3.0,0.5124762010463267,1.5,2.7332965689740134,18.4805,15.5234,38.3295,Lithic tuff,Lago La Plata Fm.,Cordón Situación,1519,175.0,-71.6538888888889,-42.88472222222222
1,Lago la Plata Fm.,CLC01,67.53,14.92,3.37,0.045,0.59,2.2,4.16,2.18,0.433,0.11,3.2,98.74,8,2,72,< 20,14,< 20,< 10,40,16,1.2,< 5,65,300,22.9,214,4.7,< 2,< 0.5,< 0.1,< 1,0.3,6.2,516,20.8,44.3,4.93,18.6,3.58,1,3.32,0.57,3.65,0.73,2.24,0.352,2.46,0.417,6,0.96,125,0.31,13,< 0.1,6.89,1.36,0.705939,4,0.7046025765903418,0.51264,5.0,0.5125142826630741,0.0,1.523532772020958,18.4895,15.5598,38.3482,Lithic tuff,Lago La Plata Fm.,Cerro La Cruz,973,175.0,-71.30277777777778,-42.92722222222222
2,Lago la Plata Fm.,BG01,54.68,18.32,7.89,0.159,4.07,6.41,3.68,0.58,0.771,0.17,3.7,100.4,23,1,177,30,29,< 20,30,80,18,1.4,< 5,18,387,18.7,92,3.3,< 2,< 0.5,< 0.1,< 1,< 0.2,4.2,234,11.1,24,3,13.1,3,1.02,3.15,0.55,3.41,0.68,1.95,0.282,1.97,0.303,2.5,0.82,109,< 0.05,19,< 0.1,2.29,0.74,0.705342,4,0.705055128011845,,,,,,18.4577,15.5402,38.202, Basaltic andesite,Lago La Plata Fm.,Esquel Cordón de los Galeses,1666,175.0,-71.73583333333333,-43.251666666666665
3,Lago la Plata Fm.,BG02,71.44,13.73,2.32,0.047,0.39,1.48,5.28,1.15,0.282,0.05,2.53,98.69,6,1,30,< 20,23,< 20,< 10,40,12,1.7,< 5,46,175,13.3,116,3.9,< 2,< 0.5,< 0.1,< 1,0.2,2.1,246,19.5,36.6,3.64,12.8,2.31,0.603,2.11,0.35,2.18,0.45,1.36,0.217,1.53,0.249,3.4,1.72,267,< 0.05,6,0.4,9.68,1.93,0.706816,6,0.7051945296165373,0.512502,6.0,0.5125850090211835,-2.6529441828351583,-1.026988846102929,18.7981,15.5837,38.8431, Rhyolithic tuff,Lago La Plata Fm.,Esquel Cordón de los Galeses,1700,175.0,-71.73722222222223,-43.25138888888889
4,Lago la Plata Fm.,BG03,68.48,14.91,3.84,0.08,1.13,2.26,4.99,1.47,0.49,0.07,2.91,100.6,11,1,76,< 20,17,< 20,< 10,50,15,1.4,< 5,46,347,17.1,133,3.4,< 2,< 0.5,< 0.1,1,0.2,2.1,438,17.8,36,3.95,14.4,3.17,0.953,2.88,0.47,2.98,0.6,1.73,0.286,1.93,0.31,3.8,0.96,139,< 0.05,10,0.1,6.28,1.5,0.705513,7,0.7046953598168741,0.51261,5.0,0.5125230152872321,-0.5461943905841549,0.6099860275466825,18.566,15.5433,38.4175, Sandy tuff,Lago La Plata Fm.,Esquel Cordón de los Galeses,1552,175.0,-71.74027777777778,-43.24777777777778
5,Lago la Plata Fm.,BG04,71.63,15.34,3.44,0.051,0.29,0.69,6.84,0.73,0.479,0.02,0.79,100.3,10,1,73,< 20,30,< 20,< 10,40,14,1.3,< 5,20,214,17.4,192,4.2,< 2,< 0.5,< 0.1,1,< 0.2,0.6,304,16.5,36.3,4.16,16.9,3.44,0.99,3.14,0.49,2.95,0.6,1.81,0.288,2.16,0.372,5.3,2.09,389,< 0.05,14,0.1,6.24,1.8,0.705748,5,0.7051715520772937,0.512638,4.0,0.5123923150968068,0.0,1.3531217984370956,18.4379,15.5457,38.3496, Rhyolite,Lago La Plata Fm.,Esquel Cordón de los Galeses,1358,175.0,-71.72222222222223,-43.25944444444445
6,Divisadero Group,GOB01,71.27,14.69,2.68,0.047,0.39,0.45,5.3,3.76,0.559,0.09,1.35,100.6,8,5,23,< 20,17,< 20,< 10,60,18,1.7,< 5,108,125,36,369,13.8,< 2,0.6,< 0.1,2,0.3,3.4,602,18.3,77.9,5.64,22.4,5.4,1.13,5.16,0.93,6.02,1.26,3.91,0.59,4.16,0.689,9.9,2.34,262,0.36,18,< 0.1,13.3,2.54,0.707666,5,0.7034739047667246,0.51276,5.0,0.5126447443025177,2.38,3.0947219926364786,18.5916,15.5654,38.4408, Rhyolite,Divisadero Gp,Gobernador Costa,722,116.0,-70.59194444444444,-44.04972222222222
7,Divisadero Group,CC01,64.26,14.57,4.71,0.122,1.69,2.81,4.19,3.42,0.768,0.2,3.55,100.3,14,1,87,< 20,16,< 20,< 10,120,16,1.1,< 5,101,175,28.6,190,5.1,< 2,< 0.5,< 0.1,1,0.4,4.6,874,21,43.8,5.08,21.2,4.74,1.21,4.54,0.77,4.92,1.03,2.96,0.452,3.02,0.509,5.5,0.95,130,0.26,61,< 0.1,9.06,2.29,0.7079,4,0.7050996606416887,0.511543,4.0,0.5114361353572561,-21.360102060324596,-20.488529168455138,18.3277,15.5445,38.2125, Lithic tuff,Divisadero Gp,Cerro Cocinero,1838,116.0,-71.64027777777778,-42.964444444444446
8,Divisadero Group,CC02,65.59,14.76,5.86,0.104,1.66,1.74,6.37,1.22,1.012,0.37,2.17,100.9,19,1,96,< 20,15,< 20,< 10,90,16,1.4,< 5,25,174,41.3,187,4.8,< 2,< 0.5,< 0.1,1,0.8,0.3,351,28.5,61,7.45,31.7,6.72,1.36,6.76,1.13,7.4,1.6,4.85,0.69,4.26,0.66,5.5,0.92,125,< 0.05,32,< 0.1,8.69,2.14,0.7055,6,0.7047610295933825,0.512667,4.0,0.5125656515493833,0.5657013331033933,1.5514070357973453,18.3915,15.5545,38.3093, Lithic tuff,Divisadero Gp,Cerro Cocinero,1753,116.0,-71.6375,-42.966944444444444
9,Divisadero Group,CC03,67.92,14.95,3.49,0.08,1.38,1.82,4.51,3.44,0.472,0.11,1.81,99.98,9,2,58,< 20,18,< 20,20,60,15,1.6,< 5,102,335,23.1,240,4.7,< 2,< 0.5,< 0.1,1,0.2,1.8,1051,27.4,56,6.17,23.4,4.37,1.05,3.87,0.62,3.85,0.81,2.41,0.37,2.5,0.432,6.8,1.34,197,0.25,15,0.1,11.4,2.87,0.706363,7,0.7048858744872473,0.512622,3.0,0.5125327171474983,-0.3121110803338028,0.9087671856294574,18.4465,15.5139,38.3562, Rhyolite,Divisadero Gp,Cerro Cocinero,1778,116.0,-71.63138888888888,-42.966944444444444
